invoice_number,sale_date,sale_type,salesperson,customer,product,material_type,quantity,price
INV-00042,2025-07-21,credit,Patrick Bala,Shere-Bhatnagar Traders,Polyester Sheet,polyester,9,150
INV-00043,2024-09-25,cash,Irya Naik,Ganguly-Halder Retailers,Wool Fabric,wool,18,200
INV-00043,2024-09-25,cash,Irya Naik,Ganguly-Halder Retailers,Polyester Sheet,polyester,3,150
INV-00043,2024-09-25,cash,Irya Naik,Ganguly-Halder Retailers,Cotton Fabric,cotton,5,120
INV-00043,2024-09-25,cash,Irya Naik,Ganguly-Halder Retailers,Silk Fabric,silk,20,350
INV-00044,2026-09-11,credit,Irya Naik,Chada-Warrior Fabrics,Yarn Roll,yarn,13,90
INV-00044,2026-09-11,credit,Irya Naik,Chada-Warrior Fabrics,Nylon Fabric,nylon,12,180
INV-00044,2026-09-11,credit,Irya Naik,Chada-Warrior Fabrics,Polyester Sheet,polyester,12,150
INV-00045,2025-07-02,credit,Madhavi Bhargava,"Contractor, Khatri and Verma Distributors",Nylon Fabric,nylon,14,180
INV-00045,2025-07-02,credit,Madhavi Bhargava,"Contractor, Khatri and Verma Distributors",Silk Fabric,silk,19,350
INV-00046,2025-01-17,credit,Hema Talwar,Dube-Hayre Stores,Silk Fabric,silk,3,350
INV-00046,2025-01-17,credit,Hema Talwar,Dube-Hayre Stores,Silk Fabric,silk,14,350
INV-00046,2025-01-17,credit,Hema Talwar,Dube-Hayre Stores,Nylon Fabric,nylon,9,180
INV-00046,2025-01-17,credit,Hema Talwar,Dube-Hayre Stores,Wool Fabric,wool,16,200
INV-00047,2026-06-08,cash,Patrick Bala,Shere-Bhatnagar Traders,Polyester Sheet,polyester,11,150
INV-00047,2026-06-08,cash,Patrick Bala,Shere-Bhatnagar Traders,Wool Fabric,wool,8,200
INV-00048,2026-07-20,credit,Ishaan Krish,"Dhar, Sura and Comar Stores",Nylon Fabric,nylon,22,180
INV-00048,2026-07-20,credit,Ishaan Krish,"Dhar, Sura and Comar Stores",Polyester Sheet,polyester,25,150
INV-00049,2026-02-17,credit,Yashodhara Sahni,Mistry Ltd Retailers,Cotton Fabric,cotton,4,120
INV-00049,2026-02-17,credit,Yashodhara Sahni,Mistry Ltd Retailers,Nylon Fabric,nylon,13,180
INV-00049,2026-02-17,credit,Yashodhara Sahni,Mistry Ltd Retailers,Yarn Roll,yarn,14,90
INV-00050,2026-05-05,credit,Hitesh Kala,"Venkataraman, Dora and Bose Distributors",Yarn Roll,yarn,10,90
INV-00050,2026-05-05,credit,Hitesh Kala,"Venkataraman, Dora and Bose Distributors",Polyester Sheet,polyester,18,150
INV-00050,2026-05-05,credit,Hitesh Kala,"Venkataraman, Dora and Bose Distributors",Cotton Fabric,cotton,22,120
INV-00050,2026-05-05,credit,Hitesh Kala,"Venkataraman, Dora and Bose Distributors",Nylon Fabric,nylon,25,180
INV-00051,2025-11-06,credit,Raksha Kapadia,"Viswanathan, Kumar and Trivedi Retailers",Polyester Sheet,polyester,17,150
INV-00051,2025-11-06,credit,Raksha Kapadia,"Viswanathan, Kumar and Trivedi Retailers",Yarn Roll,yarn,25,90
INV-00051,2025-11-06,credit,Raksha Kapadia,"Viswanathan, Kumar and Trivedi Retailers",Yarn Roll,yarn,12,90
INV-00051,2025-11-06,credit,Raksha Kapadia,"Viswanathan, Kumar and Trivedi Retailers",Polyester Sheet,polyester,7,150
INV-00052,2024-10-07,cash,Hitesh Kala,Khatri Ltd Stores,Silk Fabric,silk,8,350
INV-00052,2024-10-07,cash,Hitesh Kala,Khatri Ltd Stores,Nylon Fabric,nylon,23,180
INV-00052,2024-10-07,cash,Hitesh Kala,Khatri Ltd Stores,Wool Fabric,wool,19,200
INV-00052,2024-10-07,cash,Hitesh Kala,Khatri Ltd Stores,Yarn Roll,yarn,4,90
INV-00053,2026-12-23,cash,Gopal Vaidya,Sheth-Sodhi Distributors,Polyester Sheet,polyester,8,150
INV-00053,2026-12-23,cash,Gopal Vaidya,Sheth-Sodhi Distributors,Cotton Fabric,cotton,14,120
INV-00054,2024-08-11,credit,Rehaan Chada,Chaudhuri LLC Stores,Silk Fabric,silk,3,350
INV-00054,2024-08-11,credit,Rehaan Chada,Chaudhuri LLC Stores,Wool Fabric,wool,15,200
INV-00054,2024-08-11,credit,Rehaan Chada,Chaudhuri LLC Stores,Polyester Sheet,polyester,11,150
INV-00055,2026-03-12,cash,Ethan Das,"Sharaf, Yohannan and Goda Traders",Wool Fabric,wool,14,200
INV-00055,2026-03-12,cash,Ethan Das,"Sharaf, Yohannan and Goda Traders",Silk Fabric,silk,9,350
INV-00055,2026-03-12,cash,Ethan Das,"Sharaf, Yohannan and Goda Traders",Nylon Fabric,nylon,21,180
INV-00055,2026-03-12,cash,Ethan Das,"Sharaf, Yohannan and Goda Traders",Cotton Fabric,cotton,23,120
INV-00056,2024-04-13,credit,Varenya Padmanabhan,"Murthy, Deol and Bahri Stores",Yarn Roll,yarn,25,90
INV-00056,2024-04-13,credit,Varenya Padmanabhan,"Murthy, Deol and Bahri Stores",Polyester Sheet,polyester,3,150
INV-00056,2024-04-13,credit,Varenya Padmanabhan,"Murthy, Deol and Bahri Stores",Polyester Sheet,polyester,5,150
INV-00057,2026-02-14,credit,Inaya Banik,Naik Group Fabrics,Polyester Sheet,polyester,4,150
INV-00057,2026-02-14,credit,Inaya Banik,Naik Group Fabrics,Nylon Fabric,nylon,11,180
INV-00058,2025-10-29,cash,Urmi Gandhi,Yohannan Inc Enterprises,Wool Fabric,wool,2,200
INV-00058,2025-10-29,cash,Urmi Gandhi,Yohannan Inc Enterprises,Silk Fabric,silk,20,350
INV-00058,2025-10-29,cash,Urmi Gandhi,Yohannan Inc Enterprises,Wool Fabric,wool,13,200
INV-00058,2025-10-29,cash,Urmi Gandhi,Yohannan Inc Enterprises,Nylon Fabric,nylon,6,180
INV-00059,2025-05-24,credit,Gopal Vaidya,Gulati-Issac Fabrics,Wool Fabric,wool,17,200
INV-00059,2025-05-24,credit,Gopal Vaidya,Gulati-Issac Fabrics,Yarn Roll,yarn,21,90
INV-00059,2025-05-24,credit,Gopal Vaidya,Gulati-Issac Fabrics,Silk Fabric,silk,8,350
INV-00060,2026-03-27,cash,Samarth Ratta,"Loyal, Dara and Pathak Distributors",Nylon Fabric,nylon,7,180
INV-00060,2026-03-27,cash,Samarth Ratta,"Loyal, Dara and Pathak Distributors",Silk Fabric,silk,1,350
INV-00061,2025-10-23,cash,Hitesh Kala,Parekh Ltd Retailers,Silk Fabric,silk,9,350
INV-00061,2025-10-23,cash,Hitesh Kala,Parekh Ltd Retailers,Nylon Fabric,nylon,8,180
INV-00061,2025-10-23,cash,Hitesh Kala,Parekh Ltd Retailers,Silk Fabric,silk,11,350
INV-00061,2025-10-23,cash,Hitesh Kala,Parekh Ltd Retailers,Yarn Roll,yarn,24,90
INV-00062,2025-02-28,credit,Faras Parmer,Char-Shan Distributors,Wool Fabric,wool,20,200
INV-00062,2025-02-28,credit,Faras Parmer,Char-Shan Distributors,Cotton Fabric,cotton,9,120
INV-00063,2026-01-20,cash,Gopal Vaidya,Ahuja PLC Distributors,Cotton Fabric,cotton,6,120
INV-00063,2026-01-20,cash,Gopal Vaidya,Ahuja PLC Distributors,Yarn Roll,yarn,19,90
INV-00063,2026-01-20,cash,Gopal Vaidya,Ahuja PLC Distributors,Wool Fabric,wool,25,200
INV-00064,2025-12-28,cash,Lakshit Nath,"Tella, Kaur and Suri Distributors",Cotton Fabric,cotton,4,120
INV-00064,2025-12-28,cash,Lakshit Nath,"Tella, Kaur and Suri Distributors",Yarn Roll,yarn,11,90
INV-00064,2025-12-28,cash,Lakshit Nath,"Tella, Kaur and Suri Distributors",Polyester Sheet,polyester,15,150
INV-00065,2025-04-21,cash,Faris Dugar,Krish PLC Mart,Cotton Fabric,cotton,10,120
INV-00065,2025-04-21,cash,Faris Dugar,Krish PLC Mart,Cotton Fabric,cotton,21,120
INV-00065,2025-04-21,cash,Faris Dugar,Krish PLC Mart,Wool Fabric,wool,13,200
INV-00065,2025-04-21,cash,Faris Dugar,Krish PLC Mart,Silk Fabric,silk,14,350
INV-00066,2026-09-20,credit,Keya Rajagopal,Kanda-Deshmukh Retailers,Nylon Fabric,nylon,10,180
INV-00066,2026-09-20,credit,Keya Rajagopal,Kanda-Deshmukh Retailers,Nylon Fabric,nylon,22,180
INV-00066,2026-09-20,credit,Keya Rajagopal,Kanda-Deshmukh Retailers,Yarn Roll,yarn,10,90
INV-00067,2025-03-05,credit,Keya Rajagopal,Dada Ltd Textiles,Wool Fabric,wool,25,200
INV-00067,2025-03-05,credit,Keya Rajagopal,Dada Ltd Textiles,Cotton Fabric,cotton,21,120
INV-00067,2025-03-05,credit,Keya Rajagopal,Dada Ltd Textiles,Nylon Fabric,nylon,4,180
INV-00068,2025-08-27,cash,Ethan Das,Sastry Inc Retailers,Wool Fabric,wool,3,200
INV-00068,2025-08-27,cash,Ethan Das,Sastry Inc Retailers,Wool Fabric,wool,8,200
INV-00068,2025-08-27,cash,Ethan Das,Sastry Inc Retailers,Wool Fabric,wool,10,200
INV-00068,2025-08-27,cash,Ethan Das,Sastry Inc Retailers,Nylon Fabric,nylon,8,180
INV-00069,2024-08-20,cash,Faras Parmer,"Pall, Banerjee and Kant Traders",Yarn Roll,yarn,22,90
INV-00069,2024-08-20,cash,Faras Parmer,"Pall, Banerjee and Kant Traders",Nylon Fabric,nylon,7,180
INV-00069,2024-08-20,cash,Faras Parmer,"Pall, Banerjee and Kant Traders",Cotton Fabric,cotton,23,120
INV-00069,2024-08-20,cash,Faras Parmer,"Pall, Banerjee and Kant Traders",Polyester Sheet,polyester,11,150
INV-00070,2026-12-31,cash,Urmi Gandhi,Dave-Srivastava Distributors,Wool Fabric,wool,2,200
INV-00070,2026-12-31,cash,Urmi Gandhi,Dave-Srivastava Distributors,Cotton Fabric,cotton,7,120
INV-00070,2026-12-31,cash,Urmi Gandhi,Dave-Srivastava Distributors,Polyester Sheet,polyester,16,150
INV-00071,2026-10-17,cash,Geetika Vig,Muni-Mangat Traders,Polyester Sheet,polyester,3,150
INV-00071,2026-10-17,cash,Geetika Vig,Muni-Mangat Traders,Wool Fabric,wool,21,200
INV-00071,2026-10-17,cash,Geetika Vig,Muni-Mangat Traders,Wool Fabric,wool,14,200
INV-00072,2026-08-04,credit,Kashvi Vohra,"Bedi, Dada and Lall Stores",Wool Fabric,wool,20,200
INV-00072,2026-08-04,credit,Kashvi Vohra,"Bedi, Dada and Lall Stores",Wool Fabric,wool,3,200
INV-00072,2026-08-04,credit,Kashvi Vohra,"Bedi, Dada and Lall Stores",Wool Fabric,wool,17,200
INV-00073,2024-10-15,credit,Theodore Misra,Munshi-Bhattacharyya Enterprises,Wool Fabric,wool,15,200
INV-00073,2024-10-15,credit,Theodore Misra,Munshi-Bhattacharyya Enterprises,Yarn Roll,yarn,24,90
INV-00074,2024-05-06,credit,Keya Rajagopal,Chowdhury-Sachdev Textiles,Silk Fabric,silk,22,350
INV-00074,2024-05-06,credit,Keya Rajagopal,Chowdhury-Sachdev Textiles,Cotton Fabric,cotton,8,120
INV-00074,2024-05-06,credit,Keya Rajagopal,Chowdhury-Sachdev Textiles,Yarn Roll,yarn,3,90
INV-00075,2025-07-28,credit,Ishaan Krish,Mani Group Mart,Wool Fabric,wool,14,200
INV-00075,2025-07-28,credit,Ishaan Krish,Mani Group Mart,Polyester Sheet,polyester,18,150
INV-00075,2025-07-28,credit,Ishaan Krish,Mani Group Mart,Polyester Sheet,polyester,5,150
INV-00076,2026-05-19,credit,Madhavi Bhargava,Koshy and Sons Fabrics,Polyester Sheet,polyester,8,150
INV-00076,2026-05-19,credit,Madhavi Bhargava,Koshy and Sons Fabrics,Polyester Sheet,polyester,14,150
INV-00077,2025-11-03,credit,Faras Parmer,Buch-Banik Textiles,Wool Fabric,wool,3,200
INV-00077,2025-11-03,credit,Faras Parmer,Buch-Banik Textiles,Silk Fabric,silk,12,350
INV-00077,2025-11-03,credit,Faras Parmer,Buch-Banik Textiles,Cotton Fabric,cotton,20,120
INV-00078,2026-09-17,cash,Ishwar Patla,"Merchant, Borde and Mandal Distributors",Yarn Roll,yarn,25,90
INV-00078,2026-09-17,cash,Ishwar Patla,"Merchant, Borde and Mandal Distributors",Silk Fabric,silk,24,350
INV-00078,2026-09-17,cash,Ishwar Patla,"Merchant, Borde and Mandal Distributors",Nylon Fabric,nylon,2,180
INV-00079,2026-12-07,credit,Ronith Mahal,Kale Ltd Enterprises,Cotton Fabric,cotton,16,120
INV-00079,2026-12-07,credit,Ronith Mahal,Kale Ltd Enterprises,Silk Fabric,silk,12,350
INV-00080,2024-07-04,credit,Manya Soni,Kapur-Sama Traders,Polyester Sheet,polyester,5,150
INV-00080,2024-07-04,credit,Manya Soni,Kapur-Sama Traders,Wool Fabric,wool,5,200
INV-00080,2024-07-04,credit,Manya Soni,Kapur-Sama Traders,Polyester Sheet,polyester,6,150
INV-00081,2025-08-25,cash,Ishaan Krish,Mistry Ltd Retailers,Nylon Fabric,nylon,16,180
INV-00081,2025-08-25,cash,Ishaan Krish,Mistry Ltd Retailers,Yarn Roll,yarn,16,90
INV-00081,2025-08-25,cash,Ishaan Krish,Mistry Ltd Retailers,Yarn Roll,yarn,1,90
INV-00082,2026-10-21,credit,Christopher Sridhar,"Saraf, Chaudry and Minhas Retailers",Polyester Sheet,polyester,15,150
INV-00082,2026-10-21,credit,Christopher Sridhar,"Saraf, Chaudry and Minhas Retailers",Yarn Roll,yarn,12,90
INV-00082,2026-10-21,credit,Christopher Sridhar,"Saraf, Chaudry and Minhas Retailers",Cotton Fabric,cotton,12,120
INV-00082,2026-10-21,credit,Christopher Sridhar,"Saraf, Chaudry and Minhas Retailers",Nylon Fabric,nylon,10,180
INV-00083,2025-10-07,credit,Yashodhara Sahni,Anne-Goyal Stores,Silk Fabric,silk,14,350
INV-00083,2025-10-07,credit,Yashodhara Sahni,Anne-Goyal Stores,Cotton Fabric,cotton,22,120
INV-00083,2025-10-07,credit,Yashodhara Sahni,Anne-Goyal Stores,Yarn Roll,yarn,24,90
INV-00083,2025-10-07,credit,Yashodhara Sahni,Anne-Goyal Stores,Nylon Fabric,nylon,19,180
